title_normalized,title_original,tmdb_id,year,director,tmdb_genres,overview,country,nanogenres,themes,lb_url
matador,Matador,8047,1986,Pedro Almodóvar,Drama|Thriller,A conflicted youth confesses to crimes he didn't commit while a man and woman aroused by death become obsessed with each other.,ES,,group|killer|town|school|young,https://boxd.it/20EI
the 400 blows,The 400 Blows,147,1959,François Truffaut,Drama,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",FR,"Student, Class, Honesty|Tear-Jerker, Teacher, Childhood|Teacher, Inspiring, Environment|Feelings, Profound, Confusion|Tear-Jerker, Humanity, Compassion|Powerful, Moral, Realism|Families, Kids, Discover|Student, Cry, Inspiring|Heartfelt, Lonely, Realism|Feelings, Sympathy, Desire",france|young|french|life|spain,https://boxd.it/2b1C
beau travail,Beau Travail,14626,2000,Claire Denis,Drama,"Foreign Legion officer Galoup recalls his once glorious life, training troops in the Gulf of Djibouti. His existence there was happy, strict and regimented, until the arrival of a promising young recruit, Sentain, plants the seeds of jealousy in Galoup's mind.",FR,"Military, Infantry, Heroic|Army, Conflict, Loyalty|Intense, Doomed, Fate|Soldiers, Historical, Glory|Drama, Moving, Complex|Beauty, Dream, Reality|Relationships, Sex, Lover|Emotion, Society, Fears|Moving, Storytelling, Fascinating|America, Suffering, Humanity",war|world|french|german|army,https://boxd.it/1NI8
out 1,Out 1,94528,1990,Jacques Rivette,Mystery|Drama,"While two theater groups rehearse plays by Aeschylus, two solitary individuals wander the Parisian streets hustling the populace for cash.",FR,"Emotional, Philosophy, Poetic|Political, France, Philosophical|Humor, Imaginative, Colorful|Humor, Magic, Lucky|Heartfelt, Surreal, Japan|Powerful, Fate, Destiny|Relationships, Detective, Mysterious|Relationships, Mystery, Compelling|Heartfelt, Intellectual, Poetic|Powerful, Philosophical, Intellectual",doctor|time|life|man|future,https://boxd.it/3i2a
twisters,Twisters,718821,2024,Lee Isaac Chung,Action|Thriller,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",US,"Action, Epic, Emotion|Explosives, Adventure, Predictable|Explosives, Villain, Excitement|Earth, Destruction, Humanity|Death, Implausible, Extreme|Cliche, Goofy, Laugh-Out-Loud|Drama, Danger, Excitement|Cliche, Mindless, Speed|Thriller, Exciting, Intense|Explosives, Exciting, Cringe",love|life|relationship|new|family,https://boxd.it/qV7a
a woman under the influence,A Woman Under the Influence,29845,1974,John Cassavetes,Drama|Romance,"Mabel Longhetti, desperate and lonely, is married to a Los Angeles municipal construction worker, Nick. Increasingly unstable, especially in the company of others, she craves happiness, but her extremely volatile behavior convinces Nick that she poses a danger to their family and decides to commit her to an institution for six months. Alone with a trio of kids to raise on his own, he awaits her return, which holds more than a few surprises.",US,"Relationships, Honesty, Frustrated|Emotional, Illness, Suffering|Drama, Abusive, Disturbed|Powerful, Storytelling, Captivating|Drama, Intriguing, Compelling|Feelings, Marriage, Desire|Drama, Sympathy, Fascinating|Drama, Heartbreaking, Sensitive|Powerful, Madness, Illness|Feelings, Heartbreaking, Soul",love|life|relationship|new|family,https://boxd.it/1myg
the celebration,The Celebration,309,1998,Thomas Vinterberg,Drama,"The family of a wealthy businessman gather to celebrate his 60th birthday. During the course of the party, his eldest son presents a speech that reveals a devastating secret that turns the night into a battle of truth and denial.",DK,"Emotional, Engaging, Reality|Tear-Jerker, Families, Engaging|Tear-Jerker, Abusive, Anger|Emotional, Families, Class|Drama, Abusive, Disturbed|Emotion, Suffering, Fascinating|Family, Class, Realism|Feelings, Melodrama, Wealthy|Feelings, Moving, Tragic|Families, Death, Moving",friends|love|couple|woman|young,https://boxd.it/2aCM
gladiator ii,Gladiator II,558449,2024,Ridley Scott,Action|Adventure|Drama,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",US,"Fighting, Blood, Brutal|Villain, Bloody, Battle|Historic, Soldiers, England|Fighting, Empire, Spectacle|Villain, Swords, Enemies|Imaginative, Breathtaking, Technology|Moving, Spirit, Soul|Emotion, Breathtaking, Spectacle|Fighting, Epic, Excitement|Action, Epic, Emotion",king|dragon|world|war|prince,https://boxd.it/kqQQ
the night of the hunter,The Night of the Hunter,3112,1955,Charles Laughton,Crime|Drama|Thriller,"In Depression-era West Virginia, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money.",US,"Evil, Menacing, Danger|Dark, Complex, Subtlety|Horror, Murderous, Twisted|Sex, Moral, Naive|Moving, Timeless, Subtlety|Terrifying, Sinister, Darkness|Murderer, Tense, Creepy|Eerie, Murder, Twist|Terror, Disturbing, Mysterious|Chilling, Nightmares, Fears",group|killer|town|school|young,https://boxd.it/25HW
deerskin,Deerskin,582883,2019,Quentin Dupieux,Comedy|Horror,"A man's obsession with owning the designer deerskin jacket of his dreams leads him to turn his back on his humdrum life in the suburbs, blow his life savings, and even turn him to crime.",BE,"Weird, Crazy, Eccentric|Weird, Disturbing, Intriguing|Comedy, Bizarre, Crazy|Weird, Dream, Journey|Victim, Macabre, Corpse|Murder, Slasher, Death|Blood, Disturbing, Psychopath|Amusing, Delightful, Quirky|Bizarre, Symbolism, Thought-Provoking|Drama, Quirky, Lover",film|life|music|documentary|album,https://boxd.it/lqOW
the beast,The Beast,10020,1991,Gary Trousdale|Kirk Wise,Romance|Family|Animation|Fantasy,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",US,"Bizarre, Fear, Darkness|Weird, Disturbing, Intriguing|Feelings, Storytelling, Subtlety|Weird, Dream, Journey|Romance, Engaging, Lonely|Tense, Climax, Daring|Space, Future, Travel|Heartfelt, Beauty, Desire|Emotion, Complexity, Daring|Feelings, Desire, Profound",princess|fairy|kingdom|evil|prince,https://boxd.it/yqmk
wicked,Wicked,402431,2024,Jon M. Chu,Drama|Romance|Fantasy,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",US,"Lyrics, Choreography, Broadway|Delightful, Musical, Enchanted|Charm, Imaginative, Magic|Lyrics, Musically, Popularity|Musical, Charming, Joy|Musical, Crying, Inspiring|Singing, Delight, Dazzling|Tune, Delightful, Ballad|Musical, Adorable, Voices|Musical, Moving, Colorful",princess|fairy|kingdom|evil|prince,https://boxd.it/e8ME
blow out,Blow Out,11644,1981,Brian De Palma,Crime|Mystery|Thriller,"While recording sound effects for a slasher flick, Jack Terry stumbles upon a real-life horror: a car careening off a bridge and into a river. Jack jumps into the water and fishes out Sally from the car, but the other passenger is already dead — a governor intending to run for president. As Jack does some investigating of his tapes, and starts a perilous romance with Sally, he enters a tangled web of conspiracy that might leave him dead.",US,"Twist, Killer, Mysterious|Assassin, Thriller, Intelligent|Suspense, Conspiracy, Intrigue|Tense, Investigate, Corruption|Tense, Victim, Twist|Thrills, Detective, Taut|Killer, Crime, Clues|Twist, Deadly, Guilty|Thrills, Killer, Solving|Killing, Twist, Confused",murder|man|case|killer|detective,https://boxd.it/1TlE
yojimbo,Yojimbo,11878,1961,Akira Kurosawa,Drama|Thriller,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",JP,"Battle, Action-Packed, Moving|Epic, Honor, Warrior|Crime, Thug, Bosses|Action, Blood, Brutal|Fighting, Cool, Showdown|Action, Showdown, Confrontation|Villain, Heroic, Enemies|Violence, Guns, Armed|Humor, Killing, Compelling|Intense, Storytelling, Compelling",war|world|french|german|army,https://boxd.it/1SRY
green room,Green Room,313922,2016,Jeremy Saulnier,Horror|Crime|Thriller,A punk rock band is forced to fight for survival after witnessing an act of violence at a skinhead bar.,US,"Blood, Shock, Psychopath|Horror, Twist, Death|Horror, Fear, Danger|Terrifying, Extreme, Confused|Killer, Terror, Brutally|Hero, Evil, Complex|Frighten, Twist, Climax|Tense, Mystery, Psychological|Brutal, Shock, Extreme|Creepy, Brutal, Death",group|killer|town|school|young,https://boxd.it/a75m
the first charge of the machete,The First Charge of the Machete,264972,1969,Manuel Octavio Gómez,Drama,Cuban peasants wield machetes in a violent uprising against Spanish authorities in the late 19th century.,CU,,war|world|french|german|army,https://boxd.it/7TSq
nosferatu,Nosferatu,426063,2024,Robert Eggers,Horror|Fantasy,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",US,"Spooky, Mystery, Unnerving|Spooky, Unsettling, Horrific|Eerie, Blood, Horrifying|Chilling, Gothic, Bizarre|Scary, Cult, Sinister|Frighten, Madness, Psychological|Horror, Climax, Confused|Terror, Gothic, Supernatural|Spooky, Blood, Tense|Bizarre, Dark, Obsession",vampire|life|young|dracula|tokyo,https://boxd.it/f5eG
the flamenco guitar of yerai cortés,The Flamenco Guitar of Yerai Cortés,1317099,2024,Antón Álvarez,Documentary|Music,"A thoughtful exploration of gypsy culture, an intimate portrait of flamenco guitar player Yerai Cortés and a healing family exorcism through music. Antón Álvarez (aka C. Tangana) makes his filmmaking debut with this documentary.",ES,,film|life|music|documentary|album,https://boxd.it/Oggy
sonic the hedgehog 3,Sonic the Hedgehog 3,939243,2024,Jeff Fowler,Action|Science Fiction|Comedy|Family,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",US,"Witty, Silly, Cartoon|Animation, Humorous, Goofy|Cartoon, Magic, Colorful|Animation, Villain, Colorful|Chuckles, Kids, Charming|Slapstick, Silly, Cool|Animation, Exciting, Intense|Humorous, Adorable, Wacky|Action, Evil, Goofy|Humorous, Light-Hearted, Colorful",earth|planet|world|space|new,https://boxd.it/zq0U
wings of desire,Wings of Desire,144,1987,Wim Wenders,Drama|Fantasy|Romance,"Two angels, Damiel and Cassiel, glide through the streets of Berlin, observing the bustling population, providing invisible rays of hope to the distressed but never interacting with them. When Damiel falls in love with lonely trapeze artist Marion, the angel longs to experience life in the physical world, and finds — with some words of wisdom from actor Peter Falk — that it might be possible for him to take human form.",DE,"Emotion, Storytelling, Despair|Powerful, Profound, Journey|Feelings, Intellectual, Philosophical|Moving, Profound, Extreme|Powerful, Despair, Darkness|Reality, Revelation, Intellectual|Death, Captivating, Storytelling|Powerful, Child, Sympathy|Death, Confusing, Revelation|Relationships, Lonely, Thoughtful",love|life|relationship|new|family,https://boxd.it/2b26
totally f***ed up,Totally F***ed Up,33560,1994,Gregg Araki,Comedy|Drama,"Gay, alienated Los Angeles teens have a hard time as their parents kick them out of their homes, they don’t have money, their lovers cheat, and they are harassed by gay-bashers.",US,"Adolescents, Sex, Youth|Funny, Predictable, Stereotype|Feelings, Profound, Confusion|Feelings, Gay, Sex|School, Angst, Adolescents|Charming, Sex, Obsession|Friendship, College, 1990s|Friendship, Teenager, Immature|Homophobia, Sexual, Stereotype|Cry, Sex, Sensitive",group|killer|town|school|young,https://boxd.it/1fg0
queer,Queer,1059128,2024,Luca Guadagnino,Drama|Romance,"In 1950s Mexico City, William Lee, an American ex-pat in his late forties, leads a solitary life amidst a small American community. However, the arrival in town of Eugene Allerton, a young student, stirs William into finally establishing a meaningful connection with someone.",IT,"Heartfelt, Angst, Profound|Sex, Sensual, Repression|Powerful, Reality, Obsession|Friendship, Honesty, Desire|Killing, Fascinating, Repression|Bizarre, Extreme, Daring|Feelings, Chemistry, Poignant|Drama, Intense, Intriguing|Emotion, Crying, Journey|Heartfelt, Sex, Lust",agent|bond|fbi|mission|james,https://boxd.it/E4RW
wallace & gromit: the curse of the were-rabbit,Wallace & Gromit: The Curse of the Were-Rabbit,533,2005,Steve Box|Nick Park,Adventure|Animation|Comedy|Family,"Cheese-loving eccentric Wallace and his cunning canine pal Gromit run a business ridding the town of garden pests. Using only humane methods, which turns their home into a halfway house for evicted vermin, the pair stumble upon a mystery involving a voracious vegetarian monster that threatens to ruin the annual veggie-growing contest.",GB,"Animation, Jokes, Cute|Cartoon, Magic, Colorful|Funny, Animation, Adventure|Funny, Intelligent, Loves|Gag, Cartoon, Cool|Antics, Beloved, Endearing|Silly, Witty, Loves|Cartoon, Evil, Adventure|Gag, Adorable, Child|Chuckles, Kids, Charming",cat|monster|high|new|pirate,https://boxd.it/2ac0
"paris, texas","Paris, Texas",655,1984,Wim Wenders,Drama,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",GB,"Heartfelt, Family, Desire|Relationships, Child, Tragic|Relationships, Sympathy, Complexity|Relationships, Complicated, Revelation|Tear-Jerker, Depressing, Lonely|Feelings, Engaging, Complex|Intense, Fear, Subtlety|Drama, Engaging, Moving|Relationships, Cry, Family|Emotional, Family, Intense",family|mother|son|home|woman,https://boxd.it/29Ts
the doom generation,The Doom Generation,13552,1995,Gregg Araki,Comedy|Crime|Drama,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.",US,"Adolescents, Sex, Youth|Shock, Twisted, Insanity|Addiction, Sex, Twisted|Erotic, Disturbing, Naked|Humor, Sexual, Mocking|Humorous, Wit, Mindless|Driving, America, Culture|Relationships, Complex, Confused|Disturbing, Intriguing, Vision|Predictable, Adolescents, Boyfriend",love|life|relationship|new|family,https://boxd.it/1PVe
heretic,Heretic,1138194,2024,Scott Beck|Bryan Woods,Thriller|Horror,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",US,"Thriller, Sinister, Secret|Gory, Thrills, Haunted|Blood, Unsettling, Darkness|Horror, Discover, Execution|Terrifying, Supernatural, Psychological|Emotion, Faith, Thought-Provoking|Eerie, Horrifying, Psychopath|Supernatural, Thriller, Fear|Terrifying, Mystery, Haunted|Eerie, Mystery, Fear",group|killer|town|school|young,https://boxd.it/H1lY
inland empire,Inland Empire,1730,2006,David Lynch,Horror|Thriller|Mystery|Drama|Fantasy,"When actress Nikki Grace gets the lead role in a cursed film, her world becomes more and more surreal, blending realities and ideas of infidelity, reincarnation, and supernatural forces.",US,"Weird, Disturbing, Intriguing|Emotional, Marriage, Desire|Eerie, Mystery, Fear|Reality, Dream, Symbolism|Weird, Confused, Confusion|Bizarre, Complex, Confused|Confusing, Thought-Provoking, Revelation|Terrifying, Confused, Intriguing|Feelings, Powerful, Storytelling|Emotion, Storytelling, Despair",vampire|life|young|dracula|tokyo,https://boxd.it/28d6
wallace & gromit: vengeance most fowl,Wallace & Gromit: Vengeance Most Fowl,929204,2024,Merlin Crossingham|Nick Park,Family|Comedy|Adventure|Animation,"Gromit’s concern that Wallace is becoming too dependent on his inventions proves justified, when Wallace invents a “smart” gnome that seems to develop a mind of its own. When it emerges that a vengeful figure from the past might be masterminding things, it falls to Gromit to battle sinister forces and save his master… or Wallace may never be able to invent again!",GB,"Animation, Jokes, Cute|Cartoon, Magic, Colorful|Cartoon, Gag, Adventure|Voices, Amusing, Lovable|Funny, Intelligent, Loves|Slapstick, Silly, Cool|Animation, Humorous, Goofy|Hilarious, Animals, Sentimental|Humor, Animation, Creativity|Caper, Chuckles, Wit",cat|monster|high|new|pirate,https://boxd.it/z14C
diabolique,Diabolique,827,1955,Henri-Georges Clouzot,Thriller|Mystery,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.",FR,"Thriller, Drama, Sinister|Supernatural, Blood, Mystery|Suspense, Psychological, Fear|Tense, Victim, Mystery|Twist, Sinister, Secret|Terrifying, Thriller, Creep|Twist, Investigator, Mysterious|Suspense, Unexpected, Engaging|Thrills, Mysterious, Fear|Thrills, Disturbed, Mystery",france|young|french|life|spain,https://boxd.it/29we
nowhere,Nowhere,1811,1997,Gregg Araki,Comedy|Drama|Science Fiction,"In Los Angeles, a colorful assortment of bohemians try to make sense of their intersecting lives. The moody Dark Smith, his bisexual girlfriend, her lesbian lover and their shy gay friend plan on attending the wildest party of the year. But they'll only make it if they can survive the drug trips, suicides, trysts, mutilations and alien abductions that occur as one surreal day unfolds.",US,"Adolescents, Sex, Youth|Addiction, Sex, Twisted|Witty, Silly, Sexual|Emotion, Anger, Lesson|Sex, Sensual, Repression|Friendship, Society, Moral|Creepy, Murder, Teenager|Stereotype, Lesson, Moral|Funny, Adolescents, Nudity|Sex, Girls, Boys",woman|love|story|film|life,https://boxd.it/286E
a history of violence,A History of Violence,59,2005,David Cronenberg,Drama|Thriller|Crime,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,DE,"Gangster, Violence, Drama|Revenge, Brutal, Intense|Suspense, Crime, Shootings|Thriller, Criminal, Danger|Suspense, Cliche, Danger|Feelings, Tragic, Anger|Gory, Fighting, Extreme|Crime, Bloody, Thug|Intense, Fear, Subtlety|Disturbing, Raw, Realism",family|mother|son|home|woman,https://boxd.it/2bfa
ghostland,Ghostland,476299,2018,Pascal Laugier,Horror|Mystery|Thriller,"A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. Sixteen years later the daughters reunite at the house, and that is when things get strange...",CA,"Terrifying, Thriller, Creep|Eerie, Bloody, Horrifying|Creepy, Graphic, Screaming|Slasher, Chilling, Psychotic|Shock, Brutality, Disturbed|Graphic, Nightmares, Haunted|Gory, Disturbing, Screaming|Scary, Dark, Mysterious|Horror, Psychotic, Twisted|Spooky, Shock, Cliche",family|mother|son|home|woman,https://boxd.it/h5Uw
man bites dog,Man Bites Dog,10086,1992,Rémy Belvaux|André Bonzel|Benoît Poelvoorde,Comedy|Crime,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.",BE,,murder|man|case|killer|detective,https://boxd.it/1X7Q
thief,Thief,11524,1981,Michael Mann,Crime|Thriller|Drama,"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself complete with a home, wife and kids. To accelerate the process, he signs on with a top gangster for a big score.",US,"Suspense, Crime, Shootings|Film-Noir, Caper, Bank|Criminal, Car, Raw|Explosives, Robbery, Shootout|Gangster, Shootout, Loyalty|Criminal, Bank, Realism|Suspense, Cops, Intense|Criminal, Shootout, Sympathy|Thriller, Bloody, Intense|Cops, Violence, Thief",agent|bond|fbi|mission|james,https://boxd.it/1TEc
absurda,Absurda,1029662,2007,Manuel Escalante,Romance|Drama|Fantasy,A modern take on the classic Cinderella tale.,MX,,princess|fairy|kingdom|evil|prince,https://boxd.it/JyOS
flow,Flow,823219,2024,Gints Zilbalodis,Animation|Adventure|Fantasy|Family,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",LV,"Tear-Jerker, Humans, Environment|Heartfelt, Imaginative, Magic|Cry, Family, Environment|Tear-Jerker, Beloved, Loyalty|Friendship, Discover, Quest|Cry, Pleasant, Loving|Cry, Uplifting, Overcome|Tear-Jerker, Magic, Captivating|Weird, Imaginative, Creativity|Animation, Fantasy, Adventure",cat|monster|high|new|pirate,https://boxd.it/v1Ei
the brutalist,The Brutalist,549509,2024,Brady Corbet,Drama,"When an innovative modern architect flees post-war Europe, he is given the opportunity to rebuild his legacy. Set during the dawn of the modern United States (in Pennsylvania), his wife joins him, and their lives are forever changed by a demanding, wealthy patron.",GB,"Emotional, Family, Passionate|Predictable, Wins, Gorgeous|Friendship, Reality, Wins|Powerful, Storytelling, Captivating|Emotion, Captivating, Desire|Emotion, Dream, Uplifting|Powerful, Despair, Darkness|Emotion, Artists, Passionate|Feelings, Family, Beauty|Passionate, Fascinating, Complex",woman|love|story|film|life,https://boxd.it/k4BO
vox lux,Vox Lux,429202,2018,Brady Corbet,Drama|Music,"In 1999, teenage sisters Celeste and Eleanor survive a seismic, violent tragedy. The sisters compose and perform a song about their experience, making something lovely and cathartic out of catastrophe — while also catapulting Celeste to stardom. By 2017, the now 31-year-old Celeste is mother to a teenage daughter of her own and struggling to navigate a career fraught with scandals when another act of terrifying violence demands her attention.",US,"Lyrics, Popular, Genius|Emotional, Raw, Suffering|Singing, Biography, Fame|Shock, Brutal, Raw|Relationships, Troubled, Tragic|Victim, Brutal, Tragic|Bizarre, Crazy, Culture|Kids, 1990s, Songs|Student, Kids, Troubled|Musician, Musical, Popular",old|mother|year|family|girl,https://boxd.it/fcFk
all that jazz,All That Jazz,16858,1979,Bob Fosse,Drama,"Joe Gideon is at the top of the heap, one of the most successful directors and choreographers in musical theater. But he can feel his world slowly collapsing around him - his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",US,"Cry, Singing, Marriage|Wit, Complex, Reality|Lyrics, Broadway, Dazzling|Chemistry, Sexy, Lover|Musical, Colorful, Dazzling|Moving, Dream, Inspiring|Emotion, Singing, Loves|Tune, Family, Dream|Dancing, Catchy, Popular|Biography, Fame, Real-Life",film|life|music|documentary|album,https://boxd.it/1JB8
princess mononoke,Princess Mononoke,128,1997,Hayao Miyazaki,Adventure|Fantasy|Animation,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",JP,"Epic, Honor, Warrior|Death, Fear, Brave|Fighting, Blood, Brutal|Funny, Weird, Creativity|Action, Epic, Emotion|Vision, Extreme, Confusing|Killing, Fate, Dying|Powerful, America, Protect|Moving, Imaginative, Creativity|Weird, Vision, Colorful",king|dragon|world|war|prince,https://boxd.it/2b4w
joker,Joker,475557,2019,Todd Phillips,Crime|Thriller|Drama,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",CA,"Comic-Book, Hero, Exciting|Gory, Brutal, Extreme|Terrifying, Disturbed, Troubled|Predictable, Wins, Gorgeous|Chilling, Fear, Extreme|Shootings, Troubled, Confused|Emotion, Insanity, Mentally|Tense, Captivating, Unpredictable|Bloody, Dark, Intense|Child, Heartbreaking, Sympathy",agent|bond|fbi|mission|james,https://boxd.it/h4cS
mysterious skin,Mysterious Skin,11171,2005,Gregg Araki,Drama,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",US,"Tear-Jerker, Disturbed, Sensitive|Emotional, Disturbed, Abuse|Drama, Depressing, Troubled|Emotional, Gripping, Horrific|Tear-Jerker, Drugs, Gritty|Shock, Weird, Twisted|Emotional, Courage, Brave|Cry, Honesty, Raw|Adolescents, Teacher, Crush|Heartfelt, Honesty, Vulnerable",group|killer|town|school|young,https://boxd.it/1UsG
"synecdoche, new york","Synecdoche, New York",4960,2008,Charlie Kaufman,Drama,"A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.",US,"Cry, Quirky, Loves|Weird, Dream, Journey|Emotional, Marriage, Desire|Emotional, Cancer, Dying|Relationships, Complicated, Revelation|Friendship, Storytelling, Complexity|Emotional, Confused, Confusion|Dark, Fears, Overcome|Jokes, Surreal, Inventive|Moving, Profound, Extreme",film|life|music|documentary|album,https://boxd.it/23zw
i am cuba,I Am Cuba,32015,1964,Mikheil Kalatozishvili,Drama,"Four vignettes on the lives of pre-revolutionary era Cuban people; in Havana, Maria is ashamed when a man she loves discovers how she makes a living. Pedro, an old farmer, discovers that the land he cultivates is being sold to an American company. A student sees his friends attacked by the police while they distribute leaflets supporting Fidel Castro. Finally, a peasant family is threatened by Batista's army.",CU,"War, Russia, Political|Historical, Storytelling, Vision|Emotion, Realism, Courage|Relationships, Passion, Wealthy|Feelings, Poetic, Soul|Feelings, Government, Freedom|Moving, Realism, Desire|Powerful, Symbolism, Fascinating|America, Society, Class|France, Historical, Complex",france|young|french|life|spain,https://boxd.it/1hUQ
dog man,Dog Man,774370,2025,Peter Hastings,Family|Comedy|Adventure|Animation|Action,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",US,"Gag, Cartoon, Adorable|Voices, Amusing, Lovable|Antics, Beloved, Endearing|Amusing, Sweet, Kids|Humor, Animation, Creativity|Adorable, Delightful, Kids|Gag, Wit, Comical|Adorable, Antics, Light-Hearted|Animation, Villain, Colorful|Animation, Jokes, Cute",cat|monster|high|new|pirate,https://boxd.it/t6Iq
companion,Companion,1084199,2025,Drew Hancock,Horror|Science Fiction|Thriller,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",US,"Scary, Thriller, Revelation|Guessing, Creepy, Shock|Terrifying, Intriguing, Confusing|Thrills, Guessing, Intriguing|Creepy, Thriller, Fear|Predictable, Confusing, Revelation|Weird, Disturbing, Intriguing|Action, Sci-Fi, Destruction|Humorous, Unpredictable, Unexpected|Exciting, Storytelling, Technology",friends|love|couple|woman|young,https://boxd.it/F04o
twin peaks: fire walk with me,Twin Peaks: Fire Walk with Me,1923,1992,David Lynch,Drama|Mystery|Horror,"In the questionable town of Deer Meadow, Washington, FBI Agent Desmond inexplicably disappears while hunting for the man who murdered a teen girl. The killer is never apprehended, and, after experiencing dark visions and supernatural encounters, Agent Dale Cooper chillingly predicts that the culprit will claim another life. Meanwhile, in the more cozy town of Twin Peaks, hedonistic beauty Laura Palmer hangs with lowlifes and seems destined for a grisly fate.",US,"Eerie, Mystery, Fear|Unsettling, Disturbed, Horrific|Shock, Twisted, Madness|Amusing, Satire, Cult|Weird, Dark, Crazy|Creepy, Disturbed, Investigate|Disturbing, Madness, Vision|Terrifying, Confused, Intriguing|Addiction, Sex, Twisted|Supernatural, Murder, Graphic",murder|man|case|killer|detective,https://boxd.it/27Qw
spirited away,Spirited Away,129,2001,Hayao Miyazaki,Animation|Family|Fantasy,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",JP,"Heartfelt, Imaginative, Magic|Voices, Kids, Toy|Cartoon, Adventure, Colorful|Cry, Childhood, Magic|Animation, Fantasy, Adventure|Cartoon, Imaginative, Genius|Cartoon, Cute, Child|Charm, Kids, Lesson|Imaginative, Mythology, Quest|Voices, Songs, Bizarre",old|mother|year|family|girl,https://boxd.it/2b4m
